,school_name_x,year,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag
2222,P.S. 038 The Pacific,2020,459130.875,233536.09375,466.78828125,225594.765625,False,60010.29,True,False,False,False,False,False,False,False,False,False,False,False,True
2225,P.S. 058 The Carroll,2020,1731739.0,1969154.0,530047.0,292632.0,False,163638.0,True,True,False,False,False,False,False,False,False,True,False,True,True
2234,"The Brooklyn New School, P.S. 146",2020,142378.0,106333.0,46850.0,61887.0,True,196404.98,True,False,False,False,False,False,False,False,False,False,False,False,True
2235,The Windsor Terrace School,2020,236796.78125,326700.40625,323120.40625,233216.765625,False,401643.67,True,False,False,False,False,False,False,False,False,False,False,False,True
2239,P.S. 261 Philip Livingston,2020,138475.75,97947.8203125,22853.0,63380.9296875,False,83916.71,True,False,False,False,False,False,False,False,False,False,False,False,True
2244,New Voices School of Academic & Creative Arts,2020,0.0,0.0,0.0,0.0,False,73508.0,True,False,False,False,False,False,False,False,False,False,False,False,True
2245,The Math & Science Exploratory School,2020,141906.84375,51901.28125,1116.39953125,90005.5703125,False,116662.0,True,False,False,False,False,False,False,False,False,False,False,False,True
2324,Medgar Evers College Preparatory School,2020,53091.26171875,24068.58984375,277.93669921875,28158.669921875,False,1039493.0,True,False,False,False,False,False,False,False,False,False,False,False,True
2366,P.S. 149 Danny Kaye,2020,0.0,0.0,163.5,163.0500030517578,False,163.05,False,False,False,False,False,True,False,False,False,False,True,True,True
2371,P.S. 202 Ernest S. Jenkyns,2020,4161.0,2166.840087890625,2.0194000244140624,1994.1600341796875,False,201.92,False,False,False,False,False,False,False,False,True,False,True,True,True
2428,The Christa McAuliffe School\I.S. 187,2020,128275.3984375,67195.859375,584.2087109375,61079.5390625,False,53553.65,True,False,False,False,False,False,False,False,False,False,False,False,True
2431,J.H.S. 201 The Dyker Heights,2020,361023.125,129127.8515625,1563.12375,231895.265625,False,156312.37,True,False,False,False,False,False,False,False,False,False,False,False,True
2432,P.S. 204 Vince Lombardi,2020,71746.296875,36964.421875,41181.0,4216.580078125,True,41181.18,False,False,False,False,False,False,False,False,False,False,False,False,True
2451,P.S. 748 Brooklyn School for Global Scholars,2020,18171.25,34781.109375,44867.6015625,28257.740234375,False,3479539.0,True,False,False,False,False,False,False,False,False,False,False,False,True
